System,Format,Magnitude,Period,Time,Duration,Depth,Ratio
1054.01,20sec,8.4362,15.51065106510651,2037.1530093816427,0.2,0.0005188156178785792,1.0985395790373096
366989877,120sec,8.4362,15.50655583110066,2037.1585880897383,0.2,0.000569939490462316,1.0985395790373096
1073.01,20sec,13.6699,3.9225922592259233,3127.0167858740674,0.05,0.02604255420531815,1.0281603470072251
158297421,120sec,13.6699,3.9234185794817114,3127.0073645844896,0.05,0.026775921568694377,1.0281603470072251
1078.01,20sec,10.1165,0.5175517551755175,2036.5828154532744,0.05,0.0004246456733981587,1.1537077178377229
370133522,120sec,10.1165,0.5181012700730019,2036.5633941636981,0.05,0.0004899169907458527,1.1537077178377229
118.01,20sec,9.179,6.034653465346535,2065.4042674850593,0.1,0.0012479180045903342,0.8692812550099337
266980320,120sec,9.179,6.031973989478155,2065.409846198054,0.1,0.0010847917291797779,0.8692812550099337
122.01,20sec,13.084,5.069306930693069,2040.041969121706,0.1,0.004664329299417328,1.207260961793381
231702397,120sec,13.084,5.077539437112028,2040.0425478423742,0.05,0.00563106267613561,1.207260961793381
123.01,20sec,7.87598,3.3082808280828084,2063.25607177703,0.2,0.0036393462336924524,1.0432642368534586
290131778,120sec,7.87598,3.3080362491694717,2063.2566504846695,0.2,0.0037967997711386655,1.0432642368534586
130.01,20sec,7.4371,14.354185418541855,2039.1804372252773,0.2,0.00035058884938005906,0.9778502801493005
263003176,120sec,7.4371,14.325241637575099,2039.1860159296473,0.2,0.0003428234045835117,0.9778502801493005
132.01,20sec,10.8061,2.108910891089109,2063.1851980398055,0.1,0.0012127401046432037,0.9575201920174262
89020549,120sec,10.8061,2.1085677874718165,2063.185776754896,0.1,0.001161223137865194,0.9575201920174262
135.01,20sec,9.2205,4.125412541254125,2039.7405302740854,0.15,0.008563315528241128,1.024534701455621
267263253,120sec,9.2205,4.126538396413898,2039.741108985906,0.15,0.008773413918196808,1.024534701455621
136.01,20sec,11.9238,0.9251425142514251,2036.341359066892,0.05,0.001728885970377629,1.0635683776252782
410153553,120sec,11.9238,0.9265003458041574,2036.3104374361683,0.05,0.0018387884466136398,1.0635683776252782
1406.01,20sec,11.4266,10.586408640864086,2154.7805510176854,0.15,0.004780497845865897,0.980742527782666
231736113,120sec,11.4266,10.586958875905593,2154.7811297362673,0.15,0.00468843754141411,0.980742527782666
141.01,20sec,7.384,1.009000900090009,2036.3317171498222,0.05,0.00019830929374454095,0.9881191320240581
403224672,120sec,7.384,1.008423119539677,2036.3322958718875,0.05,0.00019595320720715978,0.9881191320240581
148.01,20sec,11.7835,4.87038703870387,2062.25535122104,0.1,0.0043621771376157505,0.6951360203855306
