System,Format,Type,Magnitude,Period,Time,Duration,Depth,Ratio
1364.01,20sec,PC,9.2118,1.7754275427542754,2826.9886354158493,0.1,0.000699044940588,1.0337527963019586
1376.01,20sec,PC,10.2566,1.7380703866966356,2826.4302875600133,0.05,0.0006616973461255,0.9503956026984838
139.01,20sec,PC,9.3636,8.966767018736077,2066.845501849428,0.33,0.001665974448671,0.7706133408380365
1393.01,20sec,PC,10.1993,0.5585058505850585,2825.66477337727,0.05,0.0020239756895029,1.081650405136272
1394.01,20sec,PC,9.44275,2.957245724572457,2853.4576008436297,0.2,0.0009460342000713,1.1987988509340175
1395.01,20sec,PC,10.1277,0.9868830942500192,2826.0005455836786,0.05,0.0004451884275087,0.9364048807716132
1408.01,20sec,PC,8.82374,4.425742574257425,2855.885504772474,0.05,0.001715076080532,0.9550535979956518
1431.01,20sec,PC,7.79824,2.651065106510651,2825.769262148931,0.1,0.0042046253824699,1.0084629681144897
1432.01,20sec,PC,9.4653,8.859194155239107,2826.421042485949,0.33,0.0011575885276344,0.5851978721906553
1437.01,20sec,PC,8.69378,14.124547423239171,2404.568887895613,0.33,0.0014021600944685,0.2356104498881008
1438.02,20sec,PC,10.3237,8.618661866186619,2392.8921597000176,0.33,0.0008604466443147,0.4764597491350025
1447.01,20sec,PC,8.1033,1.2274227422742274,2391.346172293366,0.33,0.0002515907999566,1.0535601888553012
1450.01,20sec,PC,10.0306,2.025052505250525,2391.9337185669187,0.33,0.0004100878214268,1.162171659974529
1468.01,20sec,PC,10.8858,15.550025479595664,2450.3537750956184,0.1,0.0021179356360236,1.0143578874192385
1505.01,20sec,PC,9.27116,3.431478566398493,2826.899192697645,0.15,0.0005266660900175,1.0342546923840417
1506.01,20sec,PC,9.8115,14.324401432042391,2860.407336191446,0.33,0.0010390294464986,1.3034400898223577
1520.01,20sec,PC,9.68805,6.126312631263127,2857.2970213951503,0.33,0.0035994908292759,0.910515743370962
1522.01,20sec,PC,9.39575,2.9806480648064806,2882.8156962172443,0.1,0.0005119508515601,1.1325469933831822
