TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,120 Depth,20 Std,120 Std,20 M/B Std,120 M Std,Ratio
784.01,460984940,8.7537,3.8715233959609585 d,2.797029672961295 d,0.000478453,0.000345546,0.001466578,0.00060268,0.000693176,0.000599065,0.8642321719159347
823.01,158978373,9.9623,13.52835274525652 d,13.532576585060257 d,0.002083206,0.001810902,0.002301752,0.001061877,0.00096601,0.001034903,1.0713170671111065
832.01,350332997,11.7611,2.303030213003297 d,1.9169068872113744 d,0.001629258,0.0015101,0.007743146,0.00345318,0.003479167,0.003403835,0.9783476906972273
1000.01,50365310,9.604,2.1710170717011685 d,2.1708700272937573 d,0.000489251,0.000569662,0.001860489,0.000827831,0.000768505,0.000817586,1.063865557153174
1001.01,88863718,9.42344,1.931143084302429 d,1.932750760839664 d,0.001119102,0.001138633,0.001716733,0.000821812,0.000707106,0.000758185,1.0722366943569988
1002.01,124709665,9.299501,1.8667866486588645 d,1.8670109885305968 d,0.001251147,0.001274098,0.001658204,0.000799897,0.000694962,0.000734729,1.0572218337117714
1004.01,238597883,9.1355,3.5757576057665776 d,3.5730547102084937 d,0.000425062,0.000412883,0.001438368,0.000658991,0.00059754,0.000653549,1.0937326371456304
1006.01,156115721,9.2386,2.504500420036002 d,2.50405597865217 d,0.001828492,0.001867204,0.002185694,0.001137719,0.000964681,0.001034969,1.07286139148589
1007.01,65212867,8.87759,6.997149624944489 d,6.999048494711459 d,0.002263461,0.002240116,0.001295013,0.00067643,0.000569076,0.000616467,1.0832771018282268
1011.01,114018671,8.2388,2.469396909684967 d,2.4694105474123766 d,0.000192024,0.000196575,0.000927357,0.000416273,0.000381268,0.000413995,1.0858372588310585
1026.01,388624270,9.9138,14.255174587272691 d,14.268432498818438 d,0.000997015,0.000987196,0.002250463,0.000999211,0.000939689,0.000992838,1.056560202364825
1031.01,304021498,9.7318,5.652515851642169 d,5.650765106516653 d,0.00112414,0.001240488,0.002468263,0.001030418,0.001067751,0.001016978,0.952448651417793
1032.01,146589986,9.7611,5.6632162316051575 d,5.664945649977539 d,0.003007724,0.00324176,0.003054791,0.001565046,0.001404144,0.001469615,1.0466269841269842
1034.01,400595342,9.8174,5.924599807606901 d,3.6336633363276323 d,0.00076552,0.000369589,0.002271402,0.001171335,0.001109523,0.001168213,1.0528966051176947
1036.01,146172354,10.2855,3.781728322862292 d,3.780961069389265 d,0.002066256,0.00218317,0.003020285,0.001383471,0.001225973,0.001303262,1.0630429870804659
1039.01,461867584,8.5483,4.422142244230424 d,4.421981066996589 d,0.005155104,0.005292142,0.002578092,0.001971598,0.00164175,0.001781144,1.0849057408253389
1056.01,421894914,9.6663,5.305730423012296 d,5.305549501817864 d,0.000454717,0.000387506,0.001962323,0.000807057,0.000814811,0.000805945,0.9891189490568978
1060.01,101230735,9.6652,2.383966467607488 d,2.4289289901184556 d,0.000198282,0.000375096,0.001900523,0.000876514,0.000806398,0.000868314,1.0767809443971834
1072.01,140830390,11.7106,12.838583828376839 d,12.81975663792298 d,0.010194669,0.009012193,0.007333499,0.004479911,0.003503468,0.004179353,1.1929188449844554
1083.01,322270620,12.0936,16.162957504874402 d,12.014603430737154 d,0.001453896,0.001257507,0.008009315,0.003463822,0.003363843,0.003453832,1.0267518430556954
1086.01,468148930,12.2303,3.716321482118206 d,3.717009039658846 d,0.00460734,0.004633988,0.009388893,0.003675092,0.003839372,0.003505629,0.9130735443192272
1101.01,271581073,10.5891,2.6689169216981714 d,2.6697781164345074 d,0.003353576,0.003303435,0.003357759,0.001513373,0.001396705,0.00143893,1.0302318671444577
1107.01,394561119,10.0068,4.078907920798081 d,4.078667647739871 d,0.005275511,0.005004841,0.002517008,0.001496054,0.000935711,0.001018965,1.0889740528859873
1117.01,295541511,10.4055,2.2250299287264443 d,2.2256225322472236 d,0.000651832,0.00050822,0.003032185,0.001315902,0.001274976,0.001309097,1.0267620723841075
1187.01,372757221,9.9002,2.9128411340834024 d,2.9080810417224527 d,0.001313703,0.000543561,0.002656597,0.00114707,0.001313721,0.00113074,0.8607154791618618
1214.01,451606970,10.0329,17.321711048995688 d,18.414715046219566 d,0.000564528,0.000609126,0.002397313,0.001049136,0.000975614,0.001046892,1.0730596321906
1226.01,177115354,11.5514,3.9593459045844575 d,3.9279988796817853 d,0.000635476,0.000809595,0.005418958,0.002271697,0.002221248,0.002267757,1.0209382293197338
1246.01,230127302,11.1802,18.64416456648665 d,18.65263209497369 d,0.00155433,0.001302043,0.004506597,0.001954381,0.0018542,0.001948835,1.0510381835832165
1247.01,232540264,8.4724,14.735823912457263 d,15.919119218971968 d,0.000419459,0.000552708,0.001019149,0.000489715,0.000420104,0.000484244,1.1526764801096872
1248.01,232612416,11.1153,4.360936243654372 d,4.358512823958659 d,0.004392029,0.004348065,0.004142935,0.002018881,0.00168109,0.001891831,1.125359736837409
1252.01,233211762,12.0623,1.9129912091029069 d,1.9104155689466205 d,0.019123765,0.025562927396895,0.014814232,0.016065422,0.012404404,0.013603824,1.0966930777165915
1254.01,236714379,10.794,1.0182005498009292 d,1.0181551057185683 d,0.001687102,0.002095211,0.003598921,0.001625968,0.001563347,0.001550661,0.99188535878471
1255.01,237222864,9.1416,14.586228094687641 d,9.268273876797561 d,0.001075272,0.00045956,0.001449051,0.000716629,0.000642145,0.000702286,1.0936564171643477
1259.01,288735205,11.1534,3.4776477347674755 d,3.477318673958605 d,0.0212214022907811,0.0206914729738243,0.005661277,0.00390738,0.001834377,0.002063977,1.1251651105525198
1269.01,198241702,10.9897,4.2509745873567155 d,4.251657711456701 d,0.000696215,0.000641304,0.003992549,0.001726065,0.001650214,0.001723428,1.044366367028761
1288.01,365733349,9.93119,2.699519921986197 d,2.699332594522578 d,0.002154124,0.002288332,0.002234756,0.00114816,0.000926508,0.001044863,1.1277430955803944
1296.01,219854185,10.8041,3.9462946594719477 d,3.9442393234072854 d,0.005630105,0.005578967,0.003716575,0.002056783,0.001510836,0.001585752,1.0495857922368808
1333.01,395171208,9.03527,4.721722322262233 d,4.7214057514332275 d,0.004861623,0.005178594,0.002839341,0.002436079,0.002128922,0.002267342,1.0650188217323133
1355.01,372264750,8.65269,2.170267116729676 d,2.170523247947359 d,0.004869443,0.004860386,0.001521582,0.001023232,0.000761354,0.000638037,0.8380293529685272
1394.01,431156009,9.44275,2.956945664560455 d,2.957127800997924 d,0.000947466,0.001133212,0.0018492,0.000854777,0.000777545,0.000800883,1.0300149830556429
1408.01,364186197,8.82374,4.425442514245423 d,4.425722305206819 d,0.001716348,0.001743011,0.00119637,0.000620609,0.000501671,0.000589945,1.1759599418742563
1431.01,375506058,7.79824,2.6507650464986483 d,2.650095372576563 d,0.004210383,0.004150216,0.001177317,0.000956599,0.000322249,0.000376148,1.167258858832766
1432.01,256783784,9.4653,8.854093135035066 d,6.4011796958851725 d,0.001150406,0.0007116,0.001974989,0.000928005,0.001147947,0.000919396,0.8009045713782953
1450.01,377293776,10.0306,2.025952685286532 d,2.023620626350057 d,0.000412123,0.000197802,0.002793466,0.001314507,0.001178752,0.001311768,1.112844771419264
1468.01,243185500,10.8858,15.54852517953565 d,15.537055175811641 d,0.002118841,0.00318336,0.004383329,0.0018703,0.001859225,0.001854419,0.9974150519705791
