TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,20 Error,120 Depth,120 Error
536.01,234825296,13.8786,9.248574857,9.250738868,0.01065351,2.770918157,0.010682236,0.998334116
1954.01,466113537,8.9718,4.922797815,4.911341134,0.001765466,1.368899148,0.001527445,0.996773741
551.01,192826603,13.9143,2.647164716,2.648260191,0.012140654,2.345682283,0.012356731,0.995840966
1900.01,178879588,13.2554,3.056705671,3.057502375,0.009550545,2.256341845,0.009661024,0.989582148
904.01,261257684,10.846,6.767378223,10.09690969,0.001214986,3.29201233,0.001673258,0.98644285
1765.01,272672133,11.7176,3.493549355,3.493339928,0.002571437,2.370148292,0.002707916,0.977041021
1931.01,162922904,12.0233,3.817281728,3.817747436,0.003917381,2.28658131,0.004066233,0.949580323
913.01,407126408,9.6181,11.16171617,11.18218505,0.001286449,1.60543094,0.000928674,0.948573394
903.01,238197638,11.7874,7.276927693,7.276931429,0.002980144,2.014387381,0.002814325,0.931560781
1026.01,388624270,9.9138,14.26447645,14.26813244,0.000995449,2.267146455,0.000985606,0.928496551
1506.01,64836837,9.8115,14.32440143,10.90624062,0.00103661,2.765104099,0.001349272,0.909631252
1247.01,232540264,8.4724,14.73252325,14.73718283,0.000417807,2.456498454,0.000552708,0.907567924
327.01,206669860,13.4573,10.05205521,10.05251511,0.009240931,2.156897556,0.009814081,0.906152564
228.01,77044471,13.2576,2.686168617,2.685531965,0.010342223,1.87837571,0.010399096,0.888592379
658.01,48476907,9.5359,4.718271827,4.719171242,0.001658447,1.273662671,0.0013083,0.863542351
659.01,48476908,10.245,4.718271827,4.719171242,0.001658447,1.273662671,0.0013083,0.863542351
1054.01,366989877,8.4362,15.51065107,15.50655583,0.000517469,2.026940282,0.000584842,0.859485693
1266.01,467179528,11.0402,10.89648965,10.89518533,0.002451203,1.697165941,0.002419815,0.852940407
652.01,22221375,7.3635,3.9849985,3.985132582,0.000338261,1.846236625,0.000346052,0.84411886
