System,Format,Magnitude,Period,Time,Duration,Depth,Ratio
1000,20sec,9.604,2.171317131713171,2229.6343682845027,0.1,0.0004864272398559888,1.1807537517124351
50365310,120sec,9.604,2.17117008730576,2229.6386975326077,0.1,0.0005743507883950833,1.1807537517124351
1001,20sec,9.42344,1.9314431443144315,2230.749926380566,0.15,0.0011173799499794661,1.0232489501358513
88863718,120sec,9.42344,1.9312504607796515,2230.753747596885,0.15,0.0011433578607193387,1.0232489501358513
1002,20sec,9.299501,1.8670867086708671,2202.2867635045363,0.1,0.0012490900192355513,1.0227607083010297
124709665,120sec,9.299501,1.8667109285185943,2202.2923422280046,0.1,0.0012775201928050992,1.0227607083010297
1004,20sec,9.1355,3.575457545754575,2229.5678508623478,0.15,0.00034681575759327044,1.189180297109172
238597883,120sec,9.1355,3.5733547702204964,2229.571439566446,0.15,0.0004124264656569079,1.189180297109172
1005,20sec,9.1309,4.5505550555055505,2229.760748635697,0.1,0.0030875494468785955,0.9918643067728687
169904935,120sec,9.1309,4.550835686628969,2229.758782557702,0.1,0.0030624300917551925,0.9918643067728687
1006,20sec,9.2386,2.504800480048005,2229.9846723366036,0.15,0.001826820319673234,1.0220122693279836
156115721,120sec,9.2386,2.504356038664173,2229.9852064846336,0.15,0.0018670327805637142,1.0220122693279836
1007,20sec,8.87759,6.998049804980497,2233.9361501216235,0.15,0.0022648451213731903,0.9890815180871649
65212867,120sec,8.87759,6.998748434699456,2233.93381295105,0.15,0.0022401164508801044,0.9890815180871649
1008,20sec,8.9362,2.0484548454845486,2203.3224925952095,0.15,0.0002935083329494265,0.9934900162279152
440801822,120sec,8.9362,2.0473658526968808,2203.3330713233345,0.15,0.0002915975984649541,0.9934900162279152
1009,20sec,8.4331,0.8919891989198919,2229.5286129381975,0.33,0.0006609347751592219,1.107960853620608
107782586,120sec,8.4331,0.9828107473213569,2229.271275739465,0.33,0.0007322898576729562,1.107960853620608
101,20sec,12.4069,1.4302430243024302,2036.902555015388,0.05,0.017763858233347737,1.0064684651889517
231663901,120sec,12.4069,1.4298884883987948,2036.9081337318655,0.05,0.017878763131951622,1.0064684651889517
1010,20sec,8.45086,0.6501650165016502,2229.183152237867,0.33,0.0005797352029696214,1.9026547128937887
139853601,120sec,8.45086,0.6804220025962993,2229.566463318542,0.1,0.0011030359161605873,1.9026547128937887
1011,20sec,8.2388,2.4696969696969697,2231.134281029967,0.1,0.00018998842367013314,1.052049233664688
114018671,120sec,8.2388,2.469710607424379,2231.135648736088,0.1,0.00019987717552732564,1.052049233664688
1012,20sec,8.12718,0.8841884188418843,2229.523629025417,0.05,0.001341946982997718,1.0080298028814363
427508467,120sec,8.12718,0.8840119385475901,2229.524764334326,0.05,0.001352722552748528,1.0080298028814363
1014,20sec,7.678,1.408790879087909,2201.9751400417254,0.33,0.002416173652394339,3.3136463539491823
96246348,120sec,7.678,1.4089600679239842,2201.970718780794,0.33,0.00800634501376458,3.3136463539491823
1015,20sec,10.7069,1.3717371737173718,2230.413942947476,0.1,0.000985432811305818,1.030340619844763
155044736,120sec,10.7069,1.3715675798002844,2230.414058691424,0.1,0.001015331453616204,1.030340619844763
102,20sec,9.7109,4.412091209120913,2036.402960996576,0.15,0.011316717496861188,1.0077414279776047
149603524,120sec,9.7109,4.4123279114590135,2036.3985397033907,0.15,0.011404325050306039,1.0077414279776047
1020,20sec,10.7173,3.2907290729072907,2258.351611354316,0.1,0.001718552817868427,0.9878854357149395
140706664,120sec,10.7173,3.287920016124025,2258.359041938835,0.1,0.001697733299279088,0.9878854357149395
1022,20sec,8.72924,3.7353735373537353,2992.434764016654,0.33,0.0009041100101768833,1.0149595595546086
47384844,120sec,8.72924,3.7055527334911713,2992.619651776501,0.33,0.0009176350977180422,1.0149595595546086
1026,20sec,9.9138,14.264476447644766,2237.4625472720268,0.2,0.0009958716840318743,0.9912883314195104
388624270,120sec,9.9138,14.268132438806436,2237.4661360604096,0.2,0.0009871959799718946,0.9912883314195104
1032,20sec,9.7611,5.664116411641165,2283.831508294809,0.15,0.0029974781158982025,1.082025694697415
146589986,120sec,9.7611,5.6652457099895415,2283.8291746331806,0.15,0.003243348340695051,1.082025694697415
1036,20sec,10.2855,3.7802280228022807,2285.0517506039228,0.15,0.002065576342475345,1.0589493500824994
146172354,120sec,10.2855,3.7824613694492766,2285.0400144630876,0.15,0.0021873407254100526,1.0589493500824994
1037,20sec,9.0211,1.2059705970597059,2282.9946165582023,0.15,0.00042300245982280463,1.0914740962825815
363260203,120sec,9.0211,1.2052050614602412,2282.998945135225,0.15,0.00046169622756040465,1.0914740962825815
1039,20sec,8.5483,4.421842184218422,2284.2100484987163,0.15,0.00515809918892084,1.0264005533144815
461867584,120sec,8.5483,4.421681006984587,2284.2096495039023,0.15,0.005294275861559328,1.0264005533144815
104,20sec,9.8638,4.0883588358835885,2038.8624209985353,0.2,0.003347934345963813,1.001704987992958
231670397,120sec,9.8638,4.088285696256394,2038.8629997140813,0.2,0.003353642533824893,1.001704987992958
1044,20sec,10.0031,1.007050705070507,2281.83805882531,0.05,0.002688018501067016,1.111281360875903
463402815,120sec,10.0031,1.0087748648852284,2281.8208216752087,0.05,0.002987144857925358,1.111281360875903
105,20sec,9.4995,2.184968496849685,2062.7350477416194,0.1,0.010394474820170694,1.0228754431296905
144065872,120sec,9.4995,2.184415786313105,2062.740626453916,0.1,0.010632253037782508,1.0228754431296905
1054,20sec,8.4362,15.51065106510651,2037.1530093816427,0.2,0.0005188156178785792,1.0985395790373096
366989877,120sec,8.4362,15.50655583110066,2037.1585880897383,0.2,0.000569939490462316,1.0985395790373096
1056,20sec,9.6663,5.3072307230723075,2037.341076865722,0.1,0.0004482119253624173,0.8483598817006799
421894914,120sec,9.6663,5.308250041925885,2037.3366555742832,0.15,0.0003802450159772943,0.8483598817006799
1059,20sec,9.7825,9.44944494449445,3106.337949455574,0.05,0.020523817832173837,0.33299780779226523
380783252,120sec,9.7825,6.452960372544905,3102.8035281762386,0.33,0.006834386345641689,0.33299780779226523
106,20sec,10.3157,2.851935193519352,2039.0833003656282,0.15,0.006307860267067552,1.0138662301625
38846515,120sec,10.3157,2.8500905446080163,2039.0888790795152,0.15,0.0063953265093636006,1.0138662301625
1067,20sec,13.1686,3.132763276327633,2039.0478425743192,0.1,0.009999766563590352,1.064280842534746
