toi,tid,type,Mid,Period,Duartion,Depth,Radius,Mag,st_rad
1131.01,198213332,PC,2459795.175,0.5860337,0.687,150,12.1309,9.2872,2.4
1133.01,69997672,PC,2458684.235,1.80709,3.297,450,4.86242,9.11458,2.2
1135.01,154872375,PC,2459936.477,8.0277162,4.824,5829,9.46001,9.02855,1.15
1136.01,142276270,PC,2459612.448,12.5187279,5.38,2320,5.58857,8.9361,0.98
1136.02,142276270,PC,2459627.528,6.2587919,3.049,580,2.49177,8.9361,0.98
1136.03,142276270,PC,2459594.183,26.3179537,4.414,800,2.71349,8.9361,0.98
1136.04,142276270,PC,2458697.756,18.8047556,4.5912749,628.5897125,2.5408067,8.9361,0.977727
1137.01,89389197,PC,2459770.241,1.3206356,1.6000996,1052.4256,34.7561624,9.00558,6.3070302
1139.01,202563254,PC,2459770.262,4.4780483,7.4415595,1342.5237,10.5479744,8.86193,1.82629
1145.01,350995812,PC,2458685.816,2.97164,1.534,7350,,8.5011,
1154.01,459970307,PC,2459817.436,21.7455357,4.281,490,2.09806,9.3188,0.93
1160.01,89510024,PC,2459446.147,2.3664127,2.591,300,,9.577,
1162.01,13419950,PC,2459432.683,7.3166764,3.255,3210,,9.65306,
1163.01,375542276,PC,2459441.801,3.0771612,2.6914319,4703.284435,,9.47751,
1169.01,302518439,PC,2459941.43,6.7075429,2.125,11920,17.4647,10.6405,1.24
1173.01,232967440,PC,2459635.345,7.0643995,2.421,8670,9.3403,10.2938,0.96
1174.01,154089169,PC,2459657.031,8.9534549,2.709,900,2.37092,10.2549,0.76
1175.01,30329585,PC,2459437.549,7.5022708,2.605,1760,5.55812,10.2026,1.27
1176.01,230088370,PC,2459843.997,14.0077482,5.759,6170,12.764,10.1772,1.57
1180.01,158002130,PC,2459950.326,9.686741,2.443,1659,2.96379,10.112,0.73
1181.01,229510866,PC,2459933.703,2.1031942,3.957,7117,16.733,10.079,1.93
1184.01,233087860,PC,2459960.511,5.7484316,1.641,1071,2.30502,9.9469,0.69
1187.01,372757221,PC,2459604.465,2.5942359,1.0973846,699.7894499,3.7970051,9.9002,1.39657
1189.01,112026224,PC,2459441.286,3.9687994,1.07,1760,,9.8744,
119.02,278683844,PC,2460038.721,10.6917268,2.974,519,1.73115,9.2789,0.82
1191.01,237185205,PC,2459441.423,15.7335693,3.288,2540,24.3218,9.7831,2.21
1192.01,158276040,PC,2459422.337,735.044718,3.856,14570,32.3005,10.4999,1.28
1194.01,147950620,PC,2459632.288,2.3106444,1.317,7030,8.88618,10.4782,0.99
1196.01,69068526,PC,2459785.498,5.5376617,2.517,5390,15.6557,10.4318,2.06
1197.01,92677094,PC,2459787.132,4.5960377,4.744,5000,16.2166,10.4247,2.12
1199.01,99869022,PC,2459618.797,3.6714634,2.149,4340,10.678,10.4221,1.54
1201.01,29960110,PC,2458411.671,2.4919771,1.4338141,2093.95942,2.2187585,10.9473,0.482388
1204.01,467666275,PC,2458569.931,1.381238,2.3389349,125.8478519,2.0216034,8.004,1.7756799
1205.01,287776397,PC,2458383.241,2.3922703,9.0053425,63.575141,3.5905923,8.3902,4.1956
1207.01,364393429,PC,2460010.236,2.6282308,1.585,117,0.977346,9.2397,1.11
1209.01,30037565,PC,2459965.88,40.7194269,3.908,386,2.85789,9.597,1.56
1210.01,33878688,PC,2459187.359,79.3737538,5.38,1227,2.17338,11.1762,0.77
1211.01,50312495,PC,2458363.51,18.1663638,2.7438885,624.4077092,3.1318509,9.8135,1.1393
1212.01,389924075,PC,2458402.037,105.5850893,11.6068811,462.9116325,2.5033335,10.4016,1.1142
1214.01,451606970,PC,2459363.416,19.1805928,3.763,550,2.22109,10.0329,0.94
1215.01,453260209,PC,2458570.397,1.2124484,0.9678469,405.8147585,0.879419,10.42,0.518
1216.01,141527965,PC,2458325.444,4.5539839,7.3539686,203.1814921,0.902544,11.546,0.635812
1217.01,248092710,PC,2458574.941,41.4856125,6.6899368,959.7522291,12.5121956,9.6517,3.4868701
1218.01,294781547,PC,2459383.435,13.7736662,3.0131516,336.786299,2.1105345,10.3869,1.01825
1219.01,294981566,PC,2460037.337,1.9142593,2.596,250,4.51841,10.1207,1.59
1220.01,319259194,PC,2458439.581,70.3606608,1.3646685,1566.553752,10.5351973,9.5298,2.0982201
1221.01,349095149,PC,2459137.643,91.6814336,8.6190789,742.2190905,3.1172245,10.0564,1.01814
1222.01,374997123,PC,2459369.308,10.1943985,2.1185967,280.7744557,2.3673561,10.3014,1.32661
1223.01,382437043,PC,2458337.745,14.6432449,2.5568619,228.4336406,3.209158,9.3109,2.04178
1224.01,299798795,PC,2459363.917,4.1782736,1.7361547,2593.024639,2.1832235,11.556,0.404403
1225.01,150428703,PC,2459386.83,13.8967874,4.5260993,802.3919457,3.1617079,11.7582,0.888163
1226.01,177115354,PC,2458438.453,3.9288035,1.6064128,525.617467,2.2973733,11.5514,0.986943
1227.01,360156606,PC,2458617.476,27.363343,4.140109,21652.14981,6.5448325,13.802,0.44128
1228.01,300038935,PC,2460004.167,29.0498314,6.988,343,2.76077,9.0963,1.8
1231.01,447061717,PC,2458563.889,24.2455822,3.2473526,6274.531069,3.7097595,10.2565,0.465271
1232.01,364395234,PC,2459356.538,14.2545346,4.974,7300,10.759,11.7835,1.1
1234.01,90504905,PC,2458685.613,2.2645386,3.8193701,15019.94209,5.1936764,13.7991,0.411471
1238.01,153951307,PC,2459659.537,3.2947591,1.655,1320,2.36106,11.2582,0.62
1238.02,153951307,PC,2459662.769,0.7645787,1.08,380,1.33541,11.2582,0.62
1241.01,159107668,PC,2459421.236,4.7802597,1.4588658,1015.455004,7.6126429,11.1634,2.3387201
1242.01,198212955,PC,2459664.127,0.3814849,0.565,570,2.0605,11.598,0.71
1243.01,219698776,PC,2459598.143,4.6595169,0.9011821,1725.170626,2.1961507,11.1966,0.490729
1244.01,219850915,PC,2459913.811,6.4002807,2.1559875,1026.601873,2.2730301,11.0157,0.720551
1245.01,229781583,PC,2459764.329,4.8204512,1.756,1930,2.36747,12.1819,0.52
1246.01,230127302,PC,2459733.644,18.6548829,5.4431451,1495.444947,4.3869878,11.1802,0.876154
1246.02,230127302,PC,2459737.587,4.3074513,2.3379196,1094.84195,3.2819879,11.1802,0.876154
1246.03,230127302,PC,2459740.304,5.9041278,2.7678313,773.9266468,2.4489454,11.1802,0.876154
1246.04,230127302,PC,2458700.697,37.9251983,3.5345219,1370.788854,3.241643,11.1802,0.876154
1247.01,232540264,PC,2459834.142,15.9235242,3.883,390,2.16731,8.4724,1.08
1248.01,232612416,PC,2459768.44,4.3601536,2.2646707,5571.044495,6.7138689,11.1153,0.874131
1249.01,232976128,PC,2459662.233,13.0791729,2.928,970,3.19898,10.2108,1
1252.01,233211762,PC,2459662.043,1.1219715,0.8226121,3997.644592,3.9968417,12.0623,0.624
1253.01,233684822,PC,2459845.069,4.6756782,1.903,690,3.88187,9.89947,1.45
1254.01,236714379,PC,2459716.011,1.0180114,1.1353639,2618.949217,6.5875997,10.794,1.0933
1255.01,237222864,PC,2459946.9,10.288898,1.472,852,2.75739,9.1416,0.87
1258.01,288132261,PC,2459943.718,10.2613222,4.874,709,3.62419,9.13619,1.49
1259.01,288735205,PC,2459764.874,3.4779776,2.5103489,27021.69324,12.5541925,11.1534,0.765001
1260.01,355867695,PC,2459634.761,3.1274634,1.9812695,1331.83693,2.5802896,10.8116,0.693431
1260.02,355867695,PC,2458686.12,7.4931613,1.9339295,1650.64705,2.7733674,10.8116,0.693431
1261.01,356311210,PC,2459628.771,18.0574016,3.592177,1198.057213,3.8092663,10.6965,1.01
1262.01,365938305,PC,2459946.569,20.8776201,3.634,756,2.25179,9.5966,0.9
1263.01,406672232,PC,2459445.58,1.0228925,1.156,210,1.35281,8.5325,0.82
1264.01,416195870,PC,2459765.819,2.7441672,1.418,5650,7.84317,10.634,0.97
1268.01,142394656,PC,2459658.044,8.1577318,3.79,10340,9.31728,10.1495,0.9
1269.01,198241702,PC,2459766.867,4.2530084,2.399,680,2.27163,10.9897,0.85
1269.02,198241702,PC,2459739.097,9.2378703,2.535,660,2.22995,10.9897,0.85
1272.01,417948359,PC,2459661.401,3.3159772,1.494,2770,4.5947,11.0244,0.81
1273.01,445859771,PC,2459684.92,4.6313014,1.435,4860,9.34848,10.418,1.07
1274.01,459969957,PC,2459736.341,19.3203478,4.215,13910,9.38964,11.8994,0.8
1275.01,13499636,PC,2458714.597,11.3246821,5.9704136,1937.582972,4.2917226,10.5954,0.824734
1277.02,153949511,PC,2459635.749,14.856058,3.675,960,2.61253,9.76775,0.86
1278.01,163539739,PC,2459826.54,14.4751062,1.6182484,9618.579853,8.6976173,11.7819,0.55035
1279.01,224297258,PC,2459659.674,9.6142606,2.86,1190,3.09223,9.99454,0.84
128.01,391949880,PC,2459978.249,4.9404783,1.933,405,2.16127,7.9849,1.13
1280.01,230017324,PC,2459757.492,9.692636,2.773,1840,3.21431,10.6355,0.75
1281.01,232971294,PC,2459597.188,6.3908823,3.695,360,2.54868,9.6635,1.32
1287.01,352764091,PC,2459828.257,9.6001126,4.9882857,380.4193796,2.4070295,8.593,1.2103699
1288.01,365733349,PC,2459851.687,2.6998316,2.125,2150,5.02677,9.93119,0.92
1291.01,198186769,PC,2459734.427,7.16199,7.668,800,5.05452,10.8722,1.81
1293.01,202504234,PC,2459689.485,1.6849938,0.916,990,3.76716,10.8605,1.11
1294.01,219015370,PC,2459663.162,3.9152737,2.562,3350,9.43435,10.9458,1.58
1295.01,219852584,PC,2459913.379,3.1968838,3.7533697,7958.980656,14.9685779,10.7973,1.59715
1296.01,219854185,PC,2459766.963,3.9443668,4.8652146,6732.488454,14.5727196,10.8041,1.75475
1298.01,237104103,PC,2459764.42,4.5371361,4.042155,4199.755875,9.8153513,10.9585,1.48668
1301.01,356867115,PC,2459710.294,6.0964074,2.3632965,1142.489175,2.5856853,10.5216,0.731699
1302.01,441797803,PC,2459738.403,5.6666168,3.604,9780,14.8589,10.6724,1.47
1304.01,186000935,PC,2459434.725,8.8734854,3.325,1430,5.10094,9.76577,1.18
1307.01,236815160,PC,2459764.135,2.534612,1.978,5185.281516,,10.7967,
1312.01,405904232,PC,2459840.186,11.0765119,4.692,4400,12.8076,10.1098,1.86
1314.01,136848581,PC,2458713.141,2.63999,2.824,830,7.79276,9.90482,2.72
1318.01,167092385,PC,2459819.044,4.9864441,2.179,1210,,10.151,
1320.01,167403519,PC,2459849.281,3.9729661,3.709,3940,,10.334,
1323.01,256886630,PC,2458713.201,2.03905,2.26,430,6.42307,8.26618,2.68
1324.01,266688542,PC,2459827.237,2.941827,3.535806,965.3544952,5.7148141,10.1894,1.78825
1327.01,312083267,PC,2459443.03,3.9392124,1.849,1400,14.6713,8.38189,4.12
1328.01,330332501,PC,2459819.79,4.0157492,2.706,1150,6.47219,10.3599,2.07
133.01,219338557,PC,2458327.284,8.1992272,2.2298894,1015.455819,2.2043502,9.9762,0.650533
1330.01,357457104,PC,2459852.149,1.748054,2.122,670,,9.521,
1333.01,395171208,PC,2459847.968,4.7201912,4.416,6710,15.2105,9.03527,1.8
1334.01,42123111,PC,2458686.467,4.03349,2.684,1530,23.4514,9.5526,6.37
1335.01,89759617,PC,2459817.659,3.3295394,2.77,2620,14.3988,10.4806,2.35
1336.01,92783821,PC,2459442.068,3.8615978,1.678,1020,13.8394,10.2115,2.45
1343.01,358631536,PC,2458714.787,3.40304,5.03,490,4.06282,10.0062,1.65
1345.01,160487753,PC,2458715.459,8.47134,6.989,540,16.9325,10.8049,4.88
1346.01,219852882,PC,2459766.225,5.5025577,3.1711008,844.7022676,2.7049797,10.7261,0.784109
1346.02,219852882,PC,2459741.887,1.7622537,0.8779711,733.5550822,2.5235818,10.7261,0.784109
1347.01,229747848,PC,2459664.027,0.8474218,0.8758764,424.3932848,1.7536544,10.7157,0.846387
1347.02,229747848,PC,2459656.583,4.8420438,2.4105648,318.6638392,1.6177405,10.7157,0.846387
1350.01,233953967,PC,2459851.288,5.5402372,7.713,2710,17.4013,10.3589,3.39
1353.01,279177746,PC,2459850.822,4.4350026,1.888,1170,8.69525,10.1503,1.87
1354.01,365683032,PC,2458716.301,1.42904,3.291,1210,6.96344,8.78822,1.65
1355.01,372264750,PC,2459853.582,2.1702725,2.1417853,5156.773536,15.2590586,8.65269,1.8527499
1356.01,277566483,PC,2459849.242,24.2544697,17.486,8802,,8.9468,
1357.01,357972447,PC,2458715.17,0.33759,1.32,380,2.62231,10.2193,1.37
1358.01,275501623,PC,2458739.599,1.67346,2.54,390,5.10182,8.63701,2.45
1360.01,330468175,PC,2458739.28,0.70902,2.49,570,5.18865,10.0146,2.36
1361.01,277447970,PC,2459834.553,2.2374051,3.4371271,4846.682935,12.119751,10.2202,1.6635
1362.01,395142888,PC,2459878.417,1.917366,1.436,647,19.7712,9.7736,7.39
1363.01,230017325,PC,2459660.568,9.6926628,2.816,1260,13.6064,10.3843,3.51
1364.01,26880783,PC,2459851.846,1.7753641,2.026,820,9.60123,9.2118,3.23
1368.01,136971594,PC,2458711.814,1.25562,2.304,290,2.95064,9.1384,1.72
1369.01,155005217,PC,2459867.207,7.6047417,5.23,1200,6.14418,10.4216,1.8
1374.01,190430205,PC,2458712.069,1.06884,2.512,470,10.3628,9.8261,4.94
1376.01,190743990,PC,2459826.439,1.7370044,1.434021,739.589189,4.1517239,10.2566,1.4505
1378.01,249812036,PC,2459850.624,5.7785318,2.348,4990,42.6903,9.624,2.92
1380.01,274170255,PC,2458712.05,1.41072,2.623,500,8.4993,9.32845,3.84
1381.01,275722992,PC,2459843.683,6.5602603,3.452,1780,12.927,10.379,2.62
1386.01,343019899,PC,2458752.311,,5.694,3750,6.551,10.0618,1.03
1389.01,353038705,PC,2459851.064,3.062624,1.767,580,,9.957501,
139.01,62483237,PC,2458334.892,11.0708037,2.5160833,1291.240534,3.0794062,9.3636,0.700727
1390.01,365389353,PC,2458716.354,2.63725,2.87,1270,8.74081,10.3093,2.5
1392.01,416987878,PC,2458712.767,2.86876,2.422,1030,8.48351,10.399,2.65
1393.01,430528566,PC,2459880.996,0.5590256,0.688,660,4.22851,10.1993,1.35
1394.01,431156009,PC,2459877.112,2.9581592,3.666,550,3.82886,9.44275,1.58
1395.01,468472950,PC,2458712.358,0.98736,1.464,370,3.41784,10.1277,1.69
1399.01,66783360,PC,2459881.306,1.3812787,2.4,1573,5.91488,10.2107,1.38
1403.01,328750515,PC,2459825.345,2.3359622,6.0165684,3066.249275,18.3852989,10.7387,2.0780001
1404.01,352239069,PC,2459908.513,6.8674054,3.488,779,2.4024,10.9425,1.03
1408.01,364186197,PC,2459935.531,4.4247132,1.132,984,7.84974,8.82374,1.49
1410.01,199444169,PC,2459850.737,1.2168732,0.86,1240,3.43106,10.1917,0.78
1411.01,116483514,PC,2459715.251,1.4520464,1.474,380,1.4286,9.1043,0.69
1413.01,119700084,PC,2459829.699,6.1182129,0.6671441,1805.189577,6.1579891,10.1188,0.890109
1415.01,148782377,PC,2458933.178,14.4193583,5.1635709,1090.100177,4.7835825,8.39816,1.41048
1416.01,158025009,PC,2459689.406,1.0697611,1.376,340,1.50924,9.0739,0.8
142.01,425934411,PC,2458325.486,0.8533536,1.1014878,25488.22326,12.693927,14.7109,0.608076
1420.01,321857016,PC,2459830.458,6.9561134,3.3628003,15989.2311,12.090823,11.2287,0.940037
1422.01,333473672,PC,2459864.064,13.001789,4.4847322,1339.583766,3.84805,10.1308,1.00826
1423.01,346418409,PC,2458740.962,2.7556532,3.3967282,2854.458929,6.4145519,10.9243,0.696945
1424.01,418959198,PC,2459827.504,4.8962484,2.362418,1186.028993,3.5246468,10.5152,0.799965
1430.01,293954617,PC,2459850.501,7.4341024,2.7116195,613.1390312,1.9900783,8.3879,0.78399
1431.01,375506058,PC,2459881.427,2.6502324,2.5027931,5793.239027,16.736545,7.79824,1.93656
1432.01,256783784,PC,2459851.691,6.1095756,2.441,510,2.19963,9.4653,0.91
1433.01,13684720,PC,2458695.011,12.4379715,1.7137815,123693.2602,24.6478297,12.4647,0.476997
1434.01,138588540,PC,2458703.403,29.902663,3.6993733,760.5977208,2.0294563,8.0621,0.735511
1435.01,153976959,PC,2459663.474,0.6858278,1.169,200,1.216,9.9802,0.82
1436.01,154383539,PC,2459690.566,0.8675883,1.3814953,321.4840933,1.4302423,11.0906,0.74524
1437.01,198356533,PC,2459906.552,18.84101,5.82,280,2.11414,8.69378,1.22
1438.01,229650439,PC,2459901.727,5.1396634,0.766,680,3.08154,10.3237,0.82
1438.02,229650439,PC,2459953.279,9.4280907,1.355,787,2.37465,10.3237,0.82
1439.01,232982558,PC,2459864.519,27.6439289,5.265,451,3.64999,9.98671,1.62
1440.01,233617847,PC,2459956.401,15.5174519,5.322,434,2.43592,9.80972,1.34
1440.02,233617847,PC,2459656.057,4.6274206,4.6582573,152.4142924,1.43332,9.80972,1.34
1441.01,233951353,PC,2459800.035,22.0922114,5.185,330,2.30169,9.48477,1.24
1442.01,235683377,PC,2459768.708,0.4090681,0.6165726,1281.229467,1.1833779,12.4934,0.308799
1443.01,237232044,PC,2459917.361,23.5406772,4.094,1040,2.17048,9.9377,0.75
