System,Format,Type,Magnitude,Period,Time,Duration,Depth,Ratio
1034.01,20sec,PC,9.8174,4.735461980041388,2256.1360214402,0.33,0.0006555444280034994,0.5550294621364118
400595342,120sec, ,,3.633963396339634,2257.850627077778,0.1,0.000363846471281304,
1036.01,20sec,PC,10.2855,3.7802280228022807,2285.0517506039228,0.15,0.002065576342475345,1.0589493500824994
146172354,120sec, ,,3.7824613694492766,2285.0400144630876,0.15,0.0021873407254100526,
1037.01,20sec,PC,9.0211,1.2059705970597059,2282.9946165582023,0.15,0.00042300245982280463,1.0914740962825815
363260203,120sec, ,,1.2052050614602412,2282.998945135225,0.15,0.00046169622756040465,
1039.01,20sec,PC,8.5483,4.421842184218422,2284.2100484987163,0.15,0.00515809918892084,1.0264005533144815
461867584,120sec, ,,4.421681006984587,2284.2096495039023,0.15,0.005294275861559328,
1044.01,20sec,PC,10.0031,1.007050705070507,2281.83805882531,0.05,0.002688018501067016,1.111281360875903
463402815,120sec, ,,1.0087748648852284,2281.8208216752087,0.05,0.002987144857925358,
1056.01,20sec,PC,9.6663,5.3072307230723075,2037.341076865722,0.1,0.0004482119253624173,0.8483598817006799
421894914,120sec, ,,5.308250041925885,2037.3366555742832,0.15,0.0003802450159772943,
1059.01,20sec,PC,9.7825,9.44944494449445,3106.337949455574,0.05,0.020523817832173837,0.33299780779226523
380783252,120sec, ,,6.452960372544905,3102.8035281762386,0.33,0.006834386345641689,
1060.01,20sec,PC,9.6652,2.068603394992965,2036.6482852491642,0.05,0.00047983689759015984,1.1821268076199272
101230735,120sec, ,,2.067956795679568,2036.6588639572597,0.05,0.0005672280599265056,
1072.01,20sec,PC,11.7106,12.838883888388839,2044.8389558899516,0.33,0.010192533639086435,0.985718405302589
140830390,120sec, ,,12.840460778751144,2044.8345345968248,0.33,0.010046968004713275,
1075.01,20sec,PC,11.1186,0.6051433001085887,2036.4422563629607,0.05,0.0006846606304996266,1.0287113967551944
351601843,120sec, ,,0.6053105310531053,2036.4378350715217,0.05,0.000704318193504563,
1077.01,20sec,PC,13.461,1.6077107710771077,2036.3903605546118,0.05,0.015488785449589206,1.0339295573856975
369960846,120sec, ,,1.6063339682303064,2036.4009392508328,0.05,0.016014313084335798,
1083.01,20sec,PC,12.0936,16.1626574448624,2370.6683495324955,0.33,0.001450077807636597,1.5219724029220525
322270620,120sec, ,,12.994899489948995,2367.77892824781,0.1,0.0022069784053126134,
1086.01,20sec,PC,12.2303,3.717821782178218,2038.2305510522208,0.2,0.004584420324584749,1.0358378086709534
468148930,120sec, ,,3.714908619574829,2038.2411297507701,0.2,0.004748715903044448,
1091.01,20sec,PC,9.3529,1.7247224722472247,2335.408779020487,0.15,0.0031780711054254745,1.0603250419272756
193413306,120sec, ,,1.725031931636008,2335.4043577374377,0.15,0.0033697883781081293,
1095.01,20sec,PC,10.4291,1.482898289828983,2308.8590349707815,0.1,0.0015144745295858414,1.0074177879965336
375223080,120sec, ,,1.481769171516612,2308.8782247705913,0.1,0.001525708580572459,
1101.01,20sec,PC,10.5891,2.6686168616861687,2037.4463276662348,0.05,0.0033497497618948904,0.9891768432971967
271581073,120sec, ,,2.6688779363985007,2037.4419063713035,0.05,0.003313494895306724,
1107.01,20sec,PC,10.0068,4.078607860786079,2336.073295646837,0.2,0.005266570453777403,0.9506931938371569
394561119,120sec, ,,4.078967707751874,2336.0743373325986,0.2,0.005006892685270044,
1117.01,20sec,PC,10.4055,2.2259301087624515,2362.464920961568,0.1,0.0006522213468485648,0.7707175012943107
295541511,120sec, ,,2.2259225922592263,2362.465499683169,0.1,0.0005026784067339358,
1125.01,20sec,PC,8.0465,0.773027302730273,2036.4884050852338,0.05,0.00021176636804422872,0.9952171957512281
80166433,120sec, ,,0.7726814985728997,2036.4939837928637,0.05,0.0002107535309593998,
1131.01,20sec,PC,9.2872,0.5857112939016674,2825.6561569589985,0.05,0.00027381398270029053,1.04633576380848
198213332,120sec, ,,0.5858085808580858,2825.6617356537035,0.05,0.00028650136273015043,
1187.01,20sec,PC,9.9002,2.9143414341434144,2939.778614741506,0.33,0.0013135593564091153,0.8747765571520043
372757221,120sec, ,,2.948589143342777,2939.5708408838723,0.33,0.0011490709314143685,
1201.01,20sec,PC,10.9473,2.9448835972706178,2145.0692143887113,0.33,0.0011375129969451322,1.7556063981356957
29960110,120sec, ,,2.493099309930993,2146.7997931000755,0.05,0.001997025095399384,
1204.01,20sec,PC,8.004,0.6891689168916891,2308.227560759272,0.1,9.292005570292311e-05,0.8960095459868411
467666275,120sec, ,,0.6907291539234931,2307.500863528838,0.1,8.325725692344813e-05,
1214.01,20sec,PC,10.0329,17.321410988983686,2037.350935106319,0.15,0.0005634673242123907,0.7648398724934602
451606970,120sec, ,,19.17896789678968,2037.3965138044027,0.25,0.0004309622764048361,
1225.01,20sec,PC,11.7582,19.527772354193115,2042.1479308603268,0.33,0.010849792864308917,0.33695981600353403
150428703,120sec, ,,13.936843684368435,2041.203509562718,0.33,0.003655944207233989,
1226.01,20sec,PC,11.5514,3.9596459645964597,2039.4734454515374,0.2,0.0006290630828080924,0.753837851309713
177115354,120sec, ,,3.5094151629384363,2037.939024150669,0.33,0.0004742115626823165,
1238.01,20sec,PC,11.2582,3.4335970500740443,2422.4218588129397,0.25,0.0007266597286328297,1.9396363311896645
153951307,120sec, ,,3.292679267926793,2422.322437506116,0.05,0.001409455610068659,
1246.01,20sec,PC,11.1802,18.642664266426642,2397.8774936717896,0.15,0.0015512014083182213,1.0587988180492296
230127302,120sec, ,,18.644530474649624,2397.8780723672558,0.15,0.0016424102176836332,
1247.01,20sec,PC,8.4724,14.732523252325235,2404.1919843123505,0.15,0.00041327244151232714,1.256835922899076
232540264,120sec, ,,14.737182831694511,2404.212563002287,0.2,0.0005194156504369,
1248.01,20sec,PC,11.1153,4.3594359435943595,2829.4866319615094,0.1,0.004401731414656763,1.024037211505513
232612416,120sec, ,,4.360613244042676,2829.482210658135,0.1,0.004507536763661328,
1252.01,20sec,PC,12.0623,1.913891389138914,2854.4741523362063,0.33,0.01912144992722367,1.047429913643499
233211762,120sec, ,,1.9167168291986711,2854.449731042201,0.33,0.02002837864601038,
1254.01,20sec,PC,10.794,2.030903090309031,2825.4207770455223,0.33,0.0009388201713000868,1.1521637523528876
236714379,120sec, ,,2.030257526202665,2825.4313557446512,0.33,0.0010816745713496886,
1255.01,20sec,PC,9.1416,14.593129474963698,2831.5523400806305,0.33,0.0010679211338770983,0.7678487356532958
237222864,120sec, ,,10.297779777977798,2833.7179187932343,0.05,0.000820001892424964,
1259.01,20sec,PC,11.1534,3.477947794779478,2883.125120582186,0.1,0.02123344732217667,1.0073278056355908
288735205,120sec, ,,3.477618733970607,2883.1256992926624,0.1,0.021389041897127137,
1269.01,20sec,PC,10.9897,4.256075607560756,2392.5880316990947,0.1,0.0006898644518700285,0.8525304552115386
198241702,120sec, ,,4.2585590917327565,2392.5586103916035,0.15,0.0005881304551870139,
1288.01,20sec,PC,9.93119,2.6998199819982,2827.388349409782,0.1,0.0021556960298250664,1.0312901112374258
365733349,120sec, ,,2.69963265453458,2827.388928122066,0.1,0.0022231479983923696,
1296.01,20sec,PC,10.8041,3.9459945994599464,2826.1264297029948,0.2,0.005624687320625965,0.9866286269656159
219854185,120sec, ,,3.9457396234672975,2826.1270084066637,0.2,0.005549477528260105,
1333.01,20sec,PC,9.03527,4.72022202220222,2829.0900417015487,0.15,0.004879383172820514,1.06113954930767
395171208,120sec, ,,4.72170581144523,2829.0806204122027,0.15,0.00517770646090619,
1355.01,20sec,PC,8.65269,2.1693669366936694,2853.586307454906,0.05,0.004806874971677078,1.0138293891433403
372264750,120sec, ,,2.1702231879353553,2853.5818861657976,0.05,0.004873351116223784,
1362.01,20sec,PC,9.7736,1.4735615775799,2854.081925037675,0.33,0.0005614967667334311,0.951397060481906
395142888,120sec, ,,1.4809480948094809,2854.0175037457725,0.33,0.0005342063733402807,
1364.01,20sec,PC,9.2118,1.7754275427542754,2826.9886354158493,0.1,0.0006990449405880211,1.0337527963019586
26880783,120sec, ,,1.7757320061439086,2826.989214112417,0.1,0.0007226396620736034,
1376.01,20sec,PC,10.2566,1.7380703866966356,2826.4302875600133,0.05,0.0006616973461255587,0.9503956026984838
190743990,120sec, ,,1.7364236423642365,2826.4408662699684,0.05,0.0006288742480749876,
139.01,20sec,PC,9.3636,8.966767018736077,2066.845501849428,0.33,0.0016659744486710493,0.7706133408380365
62483237,120sec, ,,11.083708370837083,2065.561080567778,0.1,0.0012838221356412031,
1393.01,20sec,PC,10.1993,0.5585058505850585,2825.6647733772706,0.05,0.002023975689502955,1.0816504051362719
430528566,120sec, ,,0.5591136971482927,2825.645352094211,0.05,0.0021892341245368365,
1394.01,20sec,PC,9.44275,2.9572457245724575,2853.4576008436297,0.2,0.0009460342000713695,1.1987988509340175
431156009,120sec, ,,2.9562276209619167,2853.458179549865,0.2,0.0011341047119898403,
1395.01,20sec,PC,10.1277,0.9868830942500191,2826.0005455836786,0.05,0.00044518842750871886,0.9364048807716131
468472950,120sec, ,,0.9875487548754875,2825.9911242887447,0.05,0.0004168766163822038,
1408.01,20sec,PC,8.82374,4.425742574257425,2855.8855047724746,0.05,0.0017150760805320305,0.9550535979956518
364186197,120sec, ,,4.425422245194817,2855.88608348325,0.05,0.001637989581548396,
1431.01,20sec,PC,7.79824,2.651065106510651,2825.769262148931,0.1,0.004204625382469967,1.0084629681144897
375506058,120sec, ,,2.6497953125645597,2825.774840857489,0.1,0.0042402089930151845,
1432.01,20sec,PC,9.4653,8.859194155239107,2826.421042485949,0.33,0.0011575885276344745,0.5851978721906553
256783784,120sec, ,,6.005400540054006,2826.0116211954387,0.33,0.0006774183432440081,
1437.01,20sec,PC,8.69378,14.124547423239173,2404.568887895613,0.33,0.0014021600944685558,0.23561044988810087
198356533,120sec, ,,18.84938493849385,2397.8344665884015,0.25,0.00033036357067287844,
1438.02,20sec,PC,10.3237,8.618661866186619,2392.8921597000176,0.33,0.0008604466443147083,0.47645974913500255
229650439,120sec, ,,11.586878264784174,2394.5177384052627,0.33,0.0004099681922942407,
1447.01,20sec,PC,8.1033,1.2274227422742274,2391.346172293366,0.33,0.00025159079995660204,1.0535601888553012
298073824,120sec, ,,1.2252237374952615,2391.371750983186,0.33,0.00026506605071653395,
1450.01,20sec,PC,10.0306,2.025052505250525,2391.9337185669187,0.33,0.0004100878214268996,1.162171659974529
377293776,120sec, ,,2.0275214065060876,2391.8792972767037,0.33,0.00047659244416303813,
1453.01,20sec,PC,10.1426,6.069226927193169,2393.793882994237,0.33,0.00035923062375978784,2.5322195731736237
198390247,120sec, ,,6.588508850885088,2395.384461688306,0.05,0.0009096508167679046,
1468.01,20sec,PC,10.8858,15.550025479595664,2450.3537750956184,0.1,0.0021179356360236322,1.0143578874192385
243185500,120sec, ,,15.522352235223522,2450.354353847015,0.1,0.0021483447174468527,
1478.01,20sec,PC,10.2042,10.182718271827182,2239.080781729924,0.15,0.00928178081315227,0.9986240998344728
409794137,120sec, ,,10.180943611912946,2239.0813604510663,0.15,0.009269010009395066,
1505.01,20sec,PC,9.27116,3.4314785663984932,2826.899192697645,0.15,0.0005266660900175406,1.0342546923840417
