TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,20 Error,120 Depth,120 Error
1034.01,400595342,9.8174,4.735461980041388,3.633963396339634,0.0007647961616366374,0.044829816342995765,0.00035267551776732505,0.17494142277342445
1036.01,146172354,10.2855,3.7802280228022807,3.7824613694492766,0.0020676354579550913,0.026108515843634057,0.002182432430720208,0.028426164004477995
1039.01,461867584,8.5483,4.421842184218422,4.421681006984587,0.005152587696118512,0.009289385193582455,0.005286357593660695,0.01574107559209376
1056.01,421894914,9.6663,5.307230723072308,5.308250041925885,0.00045323020234433735,0.10083621746702973,0.000382104669234682,0.10427232151285853
1072.01,140830390,11.7106,12.83888388838884,12.840460778751144,0.010195160244574992,0.013556830290235678,0.00899996931940448,0.020326843742511303
1083.01,322270620,12.0936,16.1626574448624,12.994899489948995,0.0014508173298953867,0.10999358771079616,0.0012417411468009269,0.21185092992091406
1086.01,468148930,12.2303,3.717821782178218,3.714908619574829,0.0045901046577707764,0.030759332724941912,0.004621882611634897,0.02404038057473992
1101.01,271581073,10.5891,2.6686168616861687,2.6688779363985007,0.0033389065646136137,0.024472444483914647,0.003299086797367036,0.029093631091486532
1107.01,394561119,10.0068,4.078607860786079,4.078967707751874,0.005282214065749856,0.007948362008378743,0.005008972832123452,0.012796815807724213
1187.01,372757221,9.9002,2.9143414341434144,2.948589143342777,0.0013129486815298256,0.02172956887247719,0.0005425124779310032,0.04647255546978021
1214.01,451606970,10.0329,17.321410988983686,19.17896789678968,0.0005650382045425756,0.1256101489220029,0.0006165306562993838,0.1481731839966183
1226.01,177115354,11.5514,3.95964596459646,3.5094151629384363,0.0006241310632200352,0.15706398667566662,0.00038217377215175923,0.22286507969127672
1246.01,230127302,11.1802,18.64266426642664,18.644530474649624,0.0015529737561287642,0.08981142120108881,0.0013021626866843402,0.11734062273088568
1247.01,232540264,8.4724,14.732523252325237,14.737182831694511,0.00041780710463741713,0.10288420230912046,0.0005527081364054778,0.05853687602545435
1248.01,232612416,11.1153,4.35943594359436,4.360613244042676,0.004405110889330705,0.023393235482587843,0.0043261930143363835,0.0306136008763215
1255.01,237222864,9.1416,14.593129474963698,10.297779777977798,0.0010750299678754104,0.030952500832199255,0.0005269560138250985,0.06251094256324757
1259.01,288735205,11.1534,3.477947794779478,3.477618733970607,0.021187534717535334,0.007312966206155237,0.020665988094415038,0.018943838726889074
1269.01,198241702,10.9897,4.256075607560756,4.2585590917327565,0.000699842913689736,0.11359102339266462,0.0006359706620386686,0.15505415370559517
1288.01,365733349,9.93119,2.6998199819982,2.69963265453458,0.002153330539017169,0.017743218270699062,0.002276981710692069,0.025888954009051064
1296.01,219854185,10.8041,3.9459945994599455,3.9457396234672975,0.005620166436931218,0.011090813976319832,0.005575620280823786,0.014780303934162608
1333.01,395171208,9.03527,4.72022202220222,4.72170581144523,0.004869850257543471,0.00926832463458663,0.005188776745681294,0.017863577640292515
139.01,62483237,9.3636,8.966767018736077,11.083708370837083,0.001665821240489612,0.021006582245958742,0.0023077617222654837,0.019181655346855
1394.01,431156009,9.44275,2.957245724572457,2.9562276209619167,0.0009460570642393275,0.02423540953106436,0.0011324022255626066,0.02207769343524515
1408.01,364186197,8.82374,4.425742574257425,4.425422245194817,0.0017005477116848304,0.026746485717398003,0.001723825720783566,0.043746291403929286
1431.01,375506058,7.79824,2.651065106510651,2.64979531256456,0.00421156193347468,0.0077140049112611785,0.004151344186292698,0.017046090148066233
1432.01,256783784,9.4653,8.859194155239107,6.005400540054006,0.001149736682638638,0.0230322564197355,0.000711038657970337,0.06202872999563106
1468.01,243185500,10.8858,15.550025479595664,15.522352235223522,0.00211689376905536,0.08063143482339767,0.003155909969312901,0.08073559767910977
1478.01,409794137,10.2042,10.182718271827182,10.180943611912946,0.009285572666804347,0.009532396378377134,0.0092599154812827,0.012955743103709713
1505.01,331034236,9.27116,3.431478566398493,3.4213921392139213,0.0004540936464184559,0.05672490945658103,0.0005496555974519855,0.05305602671454817
1506.01,64836837,9.8115,14.324401432042391,10.906240624062406,0.0010366098151960434,0.06725405176545066,0.001349272109725251,0.06709582954080394
1520.01,269238073,9.68805,6.126312631263127,6.258217946007022,0.00361436158882874,0.009900304815296994,0.0032551153291993707,0.013313928704202276
1522.01,367102581,9.39575,2.9806480648064806,2.981311497486382,0.0005121822281975618,0.05693171061963021,0.0005710747490766953,0.07068864806874571
1527.01,202375913,9.6968,5.061506150615061,5.061488056996518,0.002325922449372941,0.01486486499458116,0.002586420881304381,0.01644726165940178
1528.01,285543785,9.716,9.93894389438944,9.93845622185981,0.006653049876703489,0.010948395432147333,0.006668027880258467,0.01785440787018952
1548.01,440100539,8.7282,10.21163146917752,11.742874287428744,0.0002644608354236183,0.08859075364610085,0.00030446628094338356,0.1488985697781041
155.01,129637892,9.0284,5.447644764476448,5.448591168747838,0.0010308152814058934,0.025354214563810106,0.001000150057395608,0.03158019391914674
1605.01,101037590,9.62924,8.707283599647093,8.706420642064206,0.0036531468505127495,0.023446882101913962,0.0036746714780257488,0.03013244070876834
161.01,348770361,11.4964,2.768076807680768,2.767825117345218,0.0026567207829006354,0.027203715448607852,0.0027792127267782015,0.025358202562768977
1611.01,264678534,7.5825,16.934293429342933,22.11661170617512,0.0009712425543234649,0.03581800289930593,0.0008671587516940171,0.044072285507610595
1653.01,156724719,9.353,10.954995499549955,10.95276084764192,0.0037408589382938286,0.018700533506444496,0.003990346030435549,0.02612547241325885
166.01,147203645,10.7258,5.063456345634563,5.063369500766458,0.004032908823864748,0.03227720814910101,0.0039062179377170815,0.04454551889318424
1669.01,428679607,9.52906,2.6803180318031803,2.686082807200612,0.0003852649032198935,0.08399163321456564,0.0004092256163700813,0.11758740569914092
167.01,149990841,11.6349,4.454995499549955,4.452244909459443,0.010314377871952135,0.03812424348600303,0.005224274409482167,0.0390088933916538
170.01,394698182,11.9692,3.711971197119712,3.711378563598934,0.010035220373304288,0.01680189349087017,0.010692272587323477,0.015963312021251324
1706.01,230377505,10.486,2.484942958742318,3.672967296729673,0.0002962433448588574,0.09283877838001178,0.00034750876806402645,0.09761769751687623
1717.01,149833117,9.52339,4.053255325532554,4.053066805330399,0.006246611176847276,0.012984576862099294,0.006734473703076815,0.02134609264106664
1718.01,257241363,8.2558,5.586108610861087,5.584144328024162,0.001776779838195613,0.01418010495702471,0.0016779596965884988,0.021256330661448584
