toi,tid,type,Period,Mag,st_rad
736.02,181804752,CP,0.9479951,13.5571,0.17143
755.01,73228647,CP,2.5404679,9.4628,0.99
763.01,178819686,CP,5.6024478,9.5275,0.906761
763.02,178819686,CP,12.2773062,9.5275,0.906761
813.01,55525572,CP,83.8967527,9.8467,2.04354
824.01,193641523,CP,1.392975,10.0732,0.729635
836.01,440887364,CP,8.5954792,8.6486,0.69
837.01,460205581,CP,8.3249172,9.9322,1.01
849.01,33595516,CP,0.76566,11.5485,0.92
892.01,66561343,CP,10.6265837,10.9739,1.35
905.01,261867566,CP,3.7395688,10.5721,1.00018
942.01,146520535,CP,4.32765,11.0462,0.91
954.01,44792534,CP,3.68497,9.77919,1.93
