System,Format,Type,Magnitude,Period,Time,Duration,Depth,Ratio
102.01,20sec,KP,9.7109,4.412091209120913,2036.402960996576,0.15,0.0113167174968611,1.007741427977605
149603524.0,120sec, ,,4.4123279114590135,2036.3985397033907,0.15,0.011404325050306,
1049.01,20sec,KP,11.0657,2.181144824653482,2363.8177240417635,0.1,0.0169168275868274,0.8566485738624992
16288184.0,120sec, ,,2.181068106810681,2363.817376815508,0.1,0.0144917762265334,
105.01,20sec,KP,9.4995,2.184968496849685,2062.7350477416194,0.1,0.0103944748201706,1.0228754431296905
144065872.0,120sec, ,,2.184415786313105,2062.740626453916,0.1,0.0106322530377825,
106.01,20sec,KP,10.3157,2.851935193519352,2039.083300365628,0.15,0.0063078602670675,1.0138662301625
38846515.0,120sec, ,,2.8500905446080163,2039.0888790795152,0.15,0.0063953265093636,
1067.01,20sec,KP,13.1686,3.132763276327633,2039.0478425743192,0.1,0.0099997665635903,1.064280842534746
201642601.0,120sec, ,,3.1314473481551577,2039.0484212740328,0.1,0.0106425599834487,
1069.01,20sec,KP,10.4293,2.9767476747674766,3129.51728301001,0.1,0.0109869486520861,1.0275984494100854
31858843.0,120sec, ,,2.977655686360715,3129.512861724157,0.1,0.0112901713986319,
107.01,20sec,KP,9.6433,3.94989498949895,2039.3383278861388,0.15,0.0116915731548628,1.0337107746451797
92352620.0,120sec, ,,3.94891725896262,2039.3389066091356,0.15,0.012085705142734,
1076.01,20sec,KP,11.2474,2.5496549654965497,2036.5980507328309,0.1,0.012877541302231,0.9596464927525884
360742636.0,120sec, ,,2.549415922690379,2036.5986294367356,0.1,0.0123578873459626,
108.01,20sec,KP,13.163,3.045004500450045,2064.7411102495,0.1,0.017322988217569,1.0081605712404458
289793076.0,120sec, ,,3.0436663378309023,2064.746688954811,0.1,0.0174643536970159,
1084.01,20sec,KP,12.2851,1.3483348334833485,2361.9352901614,0.1,0.0153185945581129,1.0140465269441952
380589029.0,120sec, ,,1.348423096134996,2361.9358688820694,0.1,0.0155337676093206,
109.01,20sec,KP,13.2366,2.766126612661266,2062.0911402935003,0.1,0.0127542512484944,1.0981694923834622
29344935.0,120sec, ,,2.7667385325391223,2062.086718995552,0.1,0.0140063296192902,
110.01,20sec,KP,11.6714,3.173717371737174,2064.4935478035663,0.1,0.0143790566663267,0.9590179074787522
